reason,doi,removed_key,kept_key,removed_title,kept_title,removed_year,kept_year
duplicate_by_doi,10.1145/3726302.3730244,feng_response_2025,feng_response_2025,Response {Quality,Response {Quality,2025,2025
duplicate_by_doi,10.1145/3701716.3715473,prahlad_personalizing_2025,prahlad_personalizing_2025,Personalizing {Large,Personalizing {Large,2025,2025
duplicate_by_doi,10.1145/3626772.3657957,salemi_evaluating_2024,salemi_evaluating_2024,Evaluating {Retrieval,Evaluating retrieval quality in retrieval-augmented generation,2024,2024
duplicate_by_doi,10.1145/3626772.3657660,sudhi_rag-ex_2024,sudhi_rag-ex_2024,{RAG,Rag-ex: {A,2024,2024
duplicate_by_doi,10.1145/3626772.3661370,xu_retrieval-augmented_2024,xu_retrieval-augmented_2024,Retrieval-{Augmented,Retrieval-augmented generation with knowledge graphs for customer service question answering,2024,2024
duplicate_by_doi,10.1145/3726302.3730165,thakur_assessing_2025,thakur_assessing_2025,Assessing {Support,Assessing {Support,2025,2025
duplicate_by_doi,10.1145/3726302.3731969,belikova_data-efficient_2025,belikova_data-efficient_2025,Data-efficient {Meta,Data-efficient {Meta,2025,2025
duplicate_by_doi,10.1145/3722570.3726897,yang_explaingen_2025,yang_explaingen_2025,{ExplainGen,{ExplainGen,2025,2025
duplicate_by_doi,10.1145/3701551.3704123,sokol_ventana_2025,sokol_ventana_2025,Ventana a la {Verdad,Ventana a la {Verdad,2025,2025
duplicate_by_doi,10.1145/3704440.3704778,lee_poster_2024,lee_llm-driven_2024,Poster {Abstract,An {LLM,2024,2024
duplicate_by_doi,10.1145/3657604.3664690,salminen_using_2024,salminen_using_2024,Using {Cipherbot,Using {Cipherbot,2024,2024
duplicate_by_doi,10.1145/3726302.3733591,carmel_liverag_2025,carmel_liverag_2025,The {LiveRAG,The {LiveRAG,2025,2025
duplicate_by_doi,10.1145/3726302.3731956,varga_inquiry_2025,varga_inquiry_2025,Inquiry {Assistant,Inquiry {Assistant,2025,2025
duplicate_by_doi,10.1145/3626772.3657935,huly_old_2024,huly_old_2024,Old {IR,Old ir methods meet rag,2024,2024
duplicate_by_doi,10.1145/3626772.3661345,rome_ask_2024,rome__2024,"""{Ask",""" {Ask",2024,2024
duplicate_by_doi,10.1145/3639856.3639895,sarmah_towards_2023,sarmah_towards_2024,Towards reducing hallucination in extracting information from financial reports using {Large,Towards reducing hallucination in extracting information from financial reports using {Large,2023,2024
duplicate_by_doi,10.1145/3663742.3663973,ngom_mallet_2024,ngom_mallet_2024,Mallet: {SQL,Mallet: {Sql,2024,2024
duplicate_by_doi,10.1145/3589335.3651557,venkatakrishnan_semantic_2024,venkatakrishnan_semantic_2024,Semantic interlinking of {Immigration,Semantic interlinking of {Immigration,2024,2024
duplicate_by_doi,10.1145/3626772.3657662,wang_mememo_2024,wang_mememo_2024,{MeMemo,{MeMemo,2024,2024
duplicate_by_doi,10.1145/3726302.3729957,su_parametric_2025,su_parametric_2025,Parametric {Retrieval,Parametric retrieval augmented generation,2025,2025
duplicate_by_doi,10.1145/3731120.3744592,wallat_correctness_2025,wallat_correctness_2025,Correctness is not {Faithfulness,Correctness is not {Faithfulness,2025,2025
duplicate_by_doi,10.1145/3696410.3714717,dong_understand_2025,dong_understand_2025,Understand {What,Understand what {LLM,2025,2025
duplicate_by_doi,10.1145/3695053.3731093,jiang_rago_2025,jiang_rago_2025,{RAGO,Rago: {Systematic,2025,2025
duplicate_by_doi,10.1145/3708657.3708763,song_uragunified_2025,song_urag_2025,{URAG,{URAG,2025,2025
duplicate_by_doi,10.1145/3696410.3714756,zhang_traceback_2025,zhang_traceback_2025,Traceback of {Poisoning,Traceback of poisoning attacks to retrieval-augmented generation,2025,2025
duplicate_by_doi,10.1145/3726302.3730112,wang_unveiling_2025,wang_unveiling_2025,Unveiling {Knowledge,Unveiling {Knowledge,2025,2025
duplicate_by_doi,10.1145/3721146.3721942,guerraoui_efficient_2025,guerraoui_efficient_2025,Efficient {Federated,Efficient federated search for retrieval-augmented generation,2025,2025
duplicate_by_doi,10.1145/3733155.3733192,pinna_integration_2025,pinna_integration_2025,Integration of {Retrieval,Integration of {Retrieval,2025,2025
duplicate_by_doi,10.1145/3721146.3721941,bergman_leveraging_2025,bergman_leveraging_2025,Leveraging {Approximate,Leveraging {Approximate,2025,2025
duplicate_by_doi,10.1145/3695053.3731032,mahapatra_-storage_2025,mahapatra_-storage_2025,In-{Storage,In-{Storage,2025,2025
duplicate_by_doi,10.1145/3672608.3707898,simoni_morse_2025,simoni_morse_2025,{MoRSE,{MoRSE,2025,2025
duplicate_by_doi,10.1145/3732775.3733586,gokdemir_hiperrag_2025,gokdemir_hiperrag_2025,{HiPerRAG,{HiPerRAG,2025,2025
duplicate_by_doi,10.1145/3696410.3714771,liu_mask-based_2025,liu_mask-based_2025,Mask-based {Membership,Mask-based {Membership,2025,2025
duplicate_by_doi,10.1145/3664647.3680661,xu_p-rag_2024,xu_p-rag_2024,P-{RAG,P-{RAG,2024,2024
duplicate_by_doi,10.1145/3726302.3729907,tang_boosting_2025,tang_boosting_2025,Boosting {Retrieval,Boosting {Retrieval,2025,2025
duplicate_by_doi,10.1145/3677389.3702522,zhang_exploring_2025,zhang_exploring_2025,Exploring efficient optimization techniques in online retrieval-augmented generation application,Exploring {Efficient,2025,2025
duplicate_by_doi,10.1145/3637528.3671932,hu_prompt_2024,hu_prompt_2024,Prompt {Perturbation,Prompt perturbation in retrieval-augmented generation based large language models,2024,2024
duplicate_by_doi,10.1145/3701551.3703580,wu_lighter_2025,wu_lighter_2025,Lighter {And,Lighter and better: {Towards,2025,2025
duplicate_by_doi,10.1145/3627673.3679582,zhu_emerge_2024,zhu_emerge_2024,{EMERGE,Emerge: {Enhancing,2024,2024
duplicate_by_doi,10.1145/3703412.3703431,liang_efficient_2025,liang_efficient_2025,Efficient and verifiable responses using {Retrieval,Efficient and verifiable responses using {Retrieval,2025,2025
duplicate_by_doi,10.1145/3644815.3644945,barnett_seven_2024,barnett_seven_2024,Seven {Failure,Seven failure points when engineering a retrieval augmented generation system,2024,2024
duplicate_by_doi,10.1145/3637528.3671656,xu_face4rag_2024,xu_face4rag_2024,{Face4Rag,Face4rag: {Factual,2024,2024
duplicate_by_doi,10.1145/3726302.3730058,jiao_pr-attack_2025,jiao_pr-attack_2025,{PR,Pr-attack: {Coordinated,2025,2025
duplicate_by_doi,10.1145/3726302.3730075,shi_retrieval_2025,shi_retrieval_2025,Retrieval {Augmented,Retrieval augmented generation with collaborative filtering for personalized text generation,2025,2025
duplicate_by_doi,10.1145/3680256.3721324,shawon_retrieval_2025,shawon_retrieval_2025,Retrieval {Augmented,Retrieval {Augmented,2025,2025
duplicate_by_doi,10.1145/3626772.3657760,yang_im-rag_2024,yang_im-rag_2024,{IM,Im-rag: {Multi,2024,2024
duplicate_by_doi,10.1145/3626772.3657853,wang_feb4rag_2024,wang_feb4rag_2024,{FeB4RAG,Feb4rag: {Evaluating,2024,2024
duplicate_by_doi,10.1145/3676536.3676730,pu_customized_2025,pu_customized_2024,Customized {Retrieval,Customized retrieval augmented generation and benchmarking for {EDA,2025,2024
duplicate_by_doi,10.1145/3723366.3723380,gao_optimized_2025,gao_optimized_2025,Optimized {Individual,Optimized {Individual,2025,2025
duplicate_by_doi,10.1145/3689031.3696098,yao_cacheblend_2025,yao_cacheblend_2025,{CacheBlend,{CacheBlend,2025,2025
duplicate_by_doi,10.1145/3637528.3672065,cai_forag_2024,cai_forag_2024,{FoRAG,Forag: {Factuality,2024,2024
duplicate_by_doi,10.1145/3696410.3714892,tan_paths-over-graph_2025,tan_paths-over-graph_2025,Paths-over-{Graph,Paths-over-{Graph,2025,2025
duplicate_by_doi,10.1145/3653081.3653102,yang_retrieval-augmented_2023,yang_retrieval-augmented_2024,Retrieval-{Augmented,Retrieval-{Augmented,2023,2024
duplicate_by_doi,10.1145/3690624.3709425,yang_addrllm_2025,yang_addrllm_2025,{AddrLLM,{AddrLLM,2025,2025
duplicate_by_doi,10.1145/3696410.3714877,wang_colacare_2025,wang_colacare_2025,{ColaCare,{ColaCare,2025,2025
duplicate_by_doi,10.1145/3676536.3676674,qin_robust_2025,qin_robust_2024,Robust {Implementation,Robust implementation of retrieval-augmented generation on edge-based computing-in-memory architectures,2025,2024
duplicate_by_doi,10.1145/3732945.3732946,hou_applied_2025,hou_applied_2025,Applied {Research,Applied {Research,2025,2025
duplicate_by_doi,10.1145/3649329.3657353,tsai_rtlfixer_2024,tsai_rtlfixer_2024,{RTLFixer,Rtlfixer: {Automatically,2024,2024
duplicate_by_doi,10.1145/3689299.3689320,yao_news_2024,yao_news_2024,News {GPT,News {GPT,2024,2024
duplicate_by_doi,10.1145/3674805.3695401,esposito_beyond_2024,esposito_beyond_2024,Beyond {Words,Beyond words: {On,2024,2024
duplicate_by_doi,10.1145/3726302.3729920,hu_cg-rag_2025,hu_cg-rag_2025,{CG,Cg-rag: {Research,2025,2025
duplicate_by_doi,10.1145/3696410.3714546,tan_htmlrag_2025,tan_htmlrag_2025,{HtmlRAG,Htmlrag: {Html,2025,2025
duplicate_by_doi,10.1145/3652620.3687784,ardimento_rag-based_2024,ardimento_rag-based_2024,A {RAG,A {RAG,2024,2024
duplicate_by_doi,10.1145/3716815.3729012,sharma_enhancing_2025,sharma_enhancing_2025,Enhancing {Security,Enhancing {Security,2025,2025
duplicate_by_doi,10.1145/3726302.3730093,gienapp_viability_2025,gienapp_viability_2025,The {Viability,The {Viability,2025,2025
duplicate_by_doi,10.1145/3664647.3688990,yu_rag-guided_2024,yu_rag-guided_2024,{RAG,Rag-guided large language models for visual spatial description with adaptive hallucination corrector,2024,2024
duplicate_by_doi,10.1145/3696630.3728569,chen_towards_2025,chen_towards_2025,Towards {Mitigating,Towards {Mitigating,2025,2025
duplicate_by_doi,10.1145/3703935.3704112,qi_rag-optimized_2025,qi_rag-optimized_2024,{RAG,Rag-optimized tibetan tourism llms: {Enhancing,2025,2024
duplicate_by_doi,10.1145/3731715.3733451,zhang_towards_2025,zhang_towards_2025,Towards {Comprehensive,Towards {Comprehensive,2025,2025
duplicate_by_doi,10.1145/3688671.3688784,vassos_now_2024,vassos_now_2024,Now {I,Now {I,2024,2024
duplicate_by_doi,10.1145/3708821.3733882,shen_pentestagent_2025,shen_pentestagent_2025,{PentestAgent,Pentestagent: {Incorporating,2025,2025
duplicate_by_doi,10.1145/3731120.3744578,nian_w-rag_2025,nian_w-rag_2025,W-{RAG,W-rag: {Weakly,2025,2025
duplicate_by_doi,10.1145/3627673.3679659,huang_rd-p_2024,huang_rd-p_2024,{RD,{RD,2024,2024
duplicate_by_doi,10.1145/3701716.3715257,bi_rbdq_2025,bi_rbdq_2025,{RBDQ,{RBDQ,2025,2025
duplicate_by_doi,10.1145/3627673.3679746,wang_topology-aware_2024,wang_topology-aware_2024,Topology-aware {Retrieval,Topology-aware {Retrieval,2024,2024
duplicate_by_doi,10.1145/3726302.3730333,peng_eloq_2025,peng_eloq_2025,{ELOQ,Eloq: {Resources,2025,2025
duplicate_by_doi,10.1145/3711896.3737432,lin_scirgen_2025,lin_scirgen_2025,{ScIRGen,{ScIRGen,2025,2025
duplicate_by_doi,10.1145/3626772.3657834,cuconasu_power_2024,cuconasu_power_2024,The {Power,The power of noise: {Redefining,2024,2024
duplicate_by_doi,10.1145/3726302.3730018,yang_knowing_2025,yang_knowing_2025,Knowing {You,Knowing {You,2025,2025
duplicate_by_doi,10.1145/3686852.3686864,dakshit_faculty_2024,dakshit_faculty_2024,Faculty {Perspectives,Faculty perspectives on the potential of rag in computer science higher education,2024,2024
duplicate_by_doi,10.1145/3709025.3712220,doyle_if_2025,doyle_if_2025,If {You,If {You,2025,2025
duplicate_by_doi,10.1145/3726302.3730337,ross_rarr_2025,ross_rarr_2025,{RARR,{RARR,2025,2025
duplicate_by_doi,10.1145/3726302.3729921,cui_cirag_2025,cui_cirag_2025,{CIRAG,{CIRAG,2025,2025
duplicate_by_doi,10.1145/3711896.3736849,xin_atomr_2025,xin_atomr_2025,{AtomR,{AtomR,2025,2025
duplicate_by_doi,10.1145/3699682.3728349,proma_personalizing_2025,proma_personalizing_2025,Personalizing {LLM,Personalizing {LLM,2025,2025
duplicate_by_doi,10.1145/3701716.3717849,fuchs_practical_2025,fuchs_practical_2025,Practical {Fact,Practical {Fact,2025,2025
duplicate_by_doi,10.1145/3726302.3730316,abbasiantaeb_conversational_2025,abbasiantaeb_conversational_2025,Conversational {Gold,Conversational {Gold,2025,2025
duplicate_by_doi,10.1145/3726302.3730349,zhai_information_2025,zhai_information_2025,Information {Retrieval,Information {Retrieval,2025,2025
duplicate_by_doi,10.1145/3643479.3662055,bui_cross-data_2024,bui_cross-data_2024,Cross-{Data,Cross-data knowledge graph construction for {LLM,2024,2024
duplicate_by_doi,10.1145/3686397.3686420,sun_application_2024,sun_application_2024,The {Application,The {Application,2024,2024
duplicate_by_doi,10.1145/3677389.3702523,datta_raging_2025,datta_raging_2025,Raging against the literature: {Llm,{RAGing,2025,2025
duplicate_by_doi,10.1145/3698383.3699622,li_leveraging_2024,li_leveraging_2024,Leveraging {Prompt,Leveraging {Prompt,2024,2024
duplicate_by_doi,10.1145/3635059.3635068,mamalis_can_2024,mamalis_can_2023,Can {Large,Can large language models revolutionalize open government data portals? a case of using chatgpt in statistics. gov. scot,2024,2023
duplicate_by_doi,10.1145/3707292.3707358,liu_optimizing_2025,liu_optimizing_2025,Optimizing {RAG,Optimizing {RAG,2025,2025
duplicate_by_doi,10.1145/3706598.3713749,wang_social-rag_2025,wang_social-rag_2025,Social-{RAG,Social-{RAG,2025,2025
duplicate_by_doi,10.1145/3672608.3707894,pallucchini_self-explanatory_2025,pallucchini_self-explanatory_2025,Self-explanatory and {Retrieval,Self-explanatory and {Retrieval,2025,2025
duplicate_by_doi,10.1145/3627673.3680094,gubanov_cancerkgorg_2024,gubanov_cancerkg_2024,{CancerKG,"Cancerkg. org-a web-scale, interactive, verifiable knowledge graph-llm hybrid for assisting with optimal cancer treatment and care",2024,2024
duplicate_by_doi,10.1145/3626772.3657778,li_corpuslm_2024,li_corpuslm_2024,{CorpusLM,{CorpusLM,2024,2024
duplicate_by_doi,10.1145/3627673.3679722,shi_retrieval-enhanced_2024,shi_retrieval-enhanced_2024,Retrieval-enhanced {Knowledge,Retrieval-enhanced {Knowledge,2024,2024
duplicate_by_doi,10.1145/3661167.3661218,abedu_llm-based_2024,abedu_llm-based_2024,{LLM,Llm-based chatbots for mining software repositories: {Challenges,2024,2024
duplicate_by_doi,10.1145/3701716.3715240,liang_kag_2025,liang_kag_2025,{KAG,{KAG,2025,2025
duplicate_by_doi,10.1145/3695080.3695156,wei_garag_2024,wei_garag_2024,{GARAG,{GARAG,2024,2024
duplicate_by_doi,10.1145/3704268.3742698,most_lost_2025,most_lost_2025,Lost in {OCR,Lost in {OCR,2025,2025
duplicate_by_doi,10.1145/3630106.3658967,moayeri_worldbench_2024,moayeri_worldbench_2024,{WorldBench,Worldbench: {Quantifying,2024,2024
duplicate_by_doi,10.1145/3640543.3645200,khurana_why_2024,khurana_why_2024,Why and {When,Why and when llm-based assistants can go wrong: {Investigating,2024,2024
duplicate_by_doi,10.1145/3696230.3696247,malaborbor_enhancing_2024,malaborbor_enhancing_2024,Enhancing {Data,Enhancing {Data,2024,2024
duplicate_by_doi,10.1145/3711896.3737374,chen_chineseecomqa_2025,chen_chineseecomqa_2025,{ChineseEcomQA,Chineseecomqa: {A,2025,2025
duplicate_by_doi,10.1109/icse55347.2025.00101,lee_can_2025,lee_can_2025,Can an {LLM,Can an {LLM,2025,2025
duplicate_by_doi,10.1145/3696630.3728560,yang_evaluating_2025,yang_evaluating_2025,Evaluating {Large,Evaluating {Large,2025,2025
duplicate_by_doi,10.1145/3706598.3713448,li_omniquery_2025,li_omniquery_2025,{OmniQuery,{OmniQuery,2025,2025
duplicate_by_doi,10.1145/3589334.3645363,xu_search---chain_2024,xu_search---chain_2024,Search-in-the-{Chain,Search-in-the-{Chain,2024,2024
duplicate_by_doi,10.1145/3670474.3685953,xu_automated_2024,xu_automated_2024,Automated {C,Automated c/c++ program repair for high-level synthesis via large language models,2024,2024
duplicate_by_doi,10.1145/3726302.3729898,zhang_ask_2025,zhang_ask_2025,Ask and {Retrieve,Ask and {Retrieve,2025,2025
duplicate_by_doi,10.1145/3626772.3657784,zhang_are_2024,zhang_are_2024,Are {Large,Are {Large,2024,2024
duplicate_by_doi,10.1145/3665601.3669848,einy_cost-effective_2024,einy_cost-effective_2024,Cost-{Effective,Cost-{Effective,2024,2024
duplicate_by_doi,10.1145/3677052.3698597,cho_fishnet_2024,cho_fishnet_2024,{FISHNET,{FISHNET,2024,2024
duplicate_by_doi,10.1109/bibm62325.2024.10821725,craig_whats_2024,craig_whats_2024,What's the data say? {An,What’s the data say? {An,2024,2024
duplicate_by_doi,10.1109/iwceaa63616.2024.10823979,xu_chat_2024,xu_chat_2024,A {Chat,A {Chat,2024,2024
duplicate_by_doi,10.1109/cost64302.2024.00038,hou_llm-based_2024,hou_llm-based_2024,{LLM,{LLM,2024,2024
duplicate_by_doi,10.1109/cscwd64889.2025.11033484,guan_external_2025,guan_external_2025,From {External,From {External,2025,2025
duplicate_by_doi,10.1109/access.2025.3535618,setyawan_soekamto_queries_2025,setyawan_soekamto_queries_2025,From {Queries,From {Queries,2025,2025
duplicate_by_doi,10.1371/journal.pdig.0000568,soong_improving_2024,soong_improving_2024,Improving accuracy of {GPT,Improving accuracy of {GPT,2024,2024
duplicate_by_title_to_kept,10.1145/3721201.3725426,garcia_df-rag_2025,garcia_df-rag_2025,{DF,{DF,2025,2025
duplicate_by_title_to_kept,10.1145/3691620.3695054,liu_graphcoder_2024,liu_graphcoder_2024,{GraphCoder,{GraphCoder,2024,2024
duplicate_by_title_to_kept,10.2196/66098,li_use_2025,li_use_2025,Use of {Retrieval,Use of {Retrieval,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.emnlp-industry.113,song_rag-hat_2024,song_rag-hat_2024,{RAG,{RAG,2024,2024
duplicate_by_title_to_kept,10.3390/bdcc8090115,mansurova_qa-rag_2024,mansurova_qa-rag_2024,{QA,{QA,2024,2024
duplicate_by_title_to_kept,10.1109/ICSES63445.2024.10762977,amarnath_intelligent_2024,amarnath_intelligent_2024,An {Intelligent,An {Intelligent,2024,2024
